Date : 2023-10-17 13:57:21
Directory : c:\xampp\htdocs\inmuebles
Total : 2183 files,  723867 codes, 84903 comments, 116801 blanks, all 925571 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap-switch\js\bootstrap-switch.js                                           | JavaScript         |        735 |          8 |         42 |        785 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap-switch\js\bootstrap-switch.min.js                                       | JavaScript         |          1 |          8 |          2 |         11 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.css                                  | CSS                |         67 |          8 |         13 |         88 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.min.css                              | CSS                |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap4-duallistbox\jquery.bootstrap-duallistbox.js                            | JavaScript         |        783 |         39 |         72 |        894 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap4-duallistbox\jquery.bootstrap-duallistbox.min.js                        | JavaScript         |          1 |          8 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap\js\bootstrap.bundle.js                                                  | JavaScript         |      4,510 |      1,272 |      1,191 |      6,973 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap\js\bootstrap.bundle.min.js                                              | JavaScript         |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap\js\bootstrap.js                                                         | JavaScript         |      3,270 |        222 |        866 |      4,358 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bootstrap\js\bootstrap.min.js                                                     | JavaScript         |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bs-custom-file-input\bs-custom-file-input.js                                      | JavaScript         |        130 |          6 |         32 |        168 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bs-custom-file-input\bs-custom-file-input.min.js                                  | JavaScript         |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bs-stepper\css\bs-stepper.css                                                     | CSS                |        161 |          6 |         27 |        194 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bs-stepper\css\bs-stepper.min.css                                                 | CSS                |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bs-stepper\js\bs-stepper.js                                                       | JavaScript         |        334 |          8 |         87 |        429 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\bs-stepper\js\bs-stepper.min.js                                                   | JavaScript         |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\chart.js\Chart.bundle.js                                                          | JavaScript         |     15,035 |      2,619 |      3,123 |     20,777 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\chart.js\Chart.bundle.min.js                                                      | JavaScript         |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\chart.js\Chart.css                                                                | CSS                |         35 |          8 |          5 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\chart.js\Chart.js                                                                 | JavaScript         |     11,487 |      2,291 |      2,395 |     16,173 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\chart.js\Chart.min.css                                                            | CSS                |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\chart.js\Chart.min.js                                                             | JavaScript         |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\comment\comment.js                                               | JavaScript         |        183 |          8 |         21 |        212 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\comment\continuecomment.js                                       | JavaScript         |         97 |         11 |          7 |        115 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\dialog\dialog.css                                                | CSS                |         28 |          0 |          5 |         33 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\dialog\dialog.js                                                 | JavaScript         |        131 |         11 |         22 |        164 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\display\autorefresh.js                                           | JavaScript         |         41 |          2 |          5 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\display\fullscreen.css                                           | CSS                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\display\fullscreen.js                                            | JavaScript         |         35 |          2 |          5 |         42 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\display\panel.js                                                 | JavaScript         |        113 |          4 |         17 |        134 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\display\placeholder.js                                           | JavaScript         |         69 |          2 |          8 |         79 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\display\rulers.js                                                | JavaScript         |         46 |          2 |          4 |         52 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\edit\closebrackets.js                                            | JavaScript         |        177 |          2 |         23 |        202 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\edit\closetag.js                                                 | JavaScript         |        134 |         37 |         15 |        186 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\edit\continuelist.js                                             | JavaScript         |         82 |          7 |         13 |        102 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\edit\matchbrackets.js                                            | JavaScript         |        127 |         17 |         17 |        161 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\edit\matchtags.js                                                | JavaScript         |         58 |          2 |          7 |         67 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\edit\trailingspace.js                                            | JavaScript         |         24 |          2 |          2 |         28 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\brace-fold.js                                               | JavaScript         |        103 |          3 |         14 |        120 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\comment-fold.js                                             | JavaScript         |         52 |          2 |          6 |         60 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\foldcode.js                                                 | JavaScript         |        136 |          4 |         20 |        160 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\foldgutter.css                                              | CSS                |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\foldgutter.js                                               | JavaScript         |        145 |          4 |         15 |        164 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\indent-fold.js                                              | JavaScript         |         35 |          8 |          6 |         49 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\markdown-fold.js                                            | JavaScript         |         39 |          2 |          9 |         50 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\fold\xml-fold.js                                                 | JavaScript         |        168 |          3 |         14 |        185 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\anyword-hint.js                                             | JavaScript         |         35 |          2 |          5 |         42 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\css-hint.js                                                 | JavaScript         |         55 |          2 |         10 |         67 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\html-hint.js                                                | JavaScript         |        152 |        197 |          3 |        352 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\javascript-hint.js                                          | JavaScript         |        137 |         12 |         14 |        163 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\show-hint.css                                               | CSS                |         30 |          0 |          7 |         37 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\show-hint.js                                                | JavaScript         |        452 |         14 |         64 |        530 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\sql-hint.js                                                 | JavaScript         |        254 |         13 |         38 |        305 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\hint\xml-hint.js                                                 | JavaScript         |        122 |          3 |          8 |        133 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\coffeescript-lint.js                                        | JavaScript         |         38 |          4 |          6 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\css-lint.js                                                 | JavaScript         |         31 |          4 |          6 |         41 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\html-lint.js                                                | JavaScript         |         50 |          4 |          6 |         60 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\javascript-lint.js                                          | JavaScript         |         52 |          5 |          9 |         66 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\json-lint.js                                                | JavaScript         |         29 |          6 |          6 |         41 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\lint.css                                                    | CSS                |         67 |          1 |         12 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\lint.js                                                     | JavaScript         |        250 |          8 |         34 |        292 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\lint\yaml-lint.js                                                | JavaScript         |         27 |          9 |          6 |         42 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\merge\merge.css                                                  | CSS                |        104 |          0 |         16 |        120 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\merge\merge.js                                                   | JavaScript         |        886 |         26 |         98 |      1,010 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\mode\loadmode.js                                                 | JavaScript         |         59 |          2 |          6 |         67 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\mode\multiplex.js                                                | JavaScript         |        116 |          4 |         17 |        137 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\mode\multiplex_test.js                                           | JavaScript         |         38 |          2 |         10 |         50 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\mode\overlay.js                                                  | JavaScript         |         67 |         12 |         12 |         91 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\mode\simple.js                                                   | JavaScript         |        197 |          2 |         18 |        217 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\runmode\colorize.js                                              | JavaScript         |         31 |          2 |          8 |         41 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\runmode\runmode-standalone.js                                    | JavaScript         |        274 |         28 |         33 |        335 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\runmode\runmode.js                                               | JavaScript         |         64 |          7 |          6 |         77 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\runmode\runmode.node.js                                          | JavaScript         |        272 |         27 |         31 |        330 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\scroll\annotatescrollbar.js                                      | JavaScript         |        111 |          2 |         16 |        129 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\scroll\scrollpastend.js                                          | JavaScript         |         42 |          2 |          5 |         49 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\scroll\simplescrollbars.css                                      | CSS                |         57 |          0 |         10 |         67 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\scroll\simplescrollbars.js                                       | JavaScript         |        130 |          2 |         21 |        153 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\search\jump-to-line.js                                           | JavaScript         |         40 |          4 |         10 |         54 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\search\match-highlighter.js                                      | JavaScript         |        134 |         19 |         15 |        168 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\search\matchesonscrollbar.css                                    | CSS                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\search\matchesonscrollbar.js                                     | JavaScript         |         83 |          2 |         13 |         98 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\search\search.js                                                 | JavaScript         |        258 |         10 |         25 |        293 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\search\searchcursor.js                                           | JavaScript         |        266 |         12 |         28 |        306 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\selection\active-line.js                                         | JavaScript         |         64 |          2 |          7 |         73 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\selection\mark-selection.js                                      | JavaScript         |         97 |          7 |         16 |        120 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\selection\selection-pointer.js                                   | JavaScript         |         89 |          2 |          8 |         99 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\tern\tern.css                                                    | CSS                |         81 |          0 |          7 |         88 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\tern\tern.js                                                     | JavaScript         |        606 |         55 |         90 |        751 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\tern\worker.js                                                   | JavaScript         |         34 |          3 |          8 |         45 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\addon\wrap\hardwrap.js                                                 | JavaScript         |        143 |          5 |         13 |        161 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\codemirror.css                                                         | CSS                |        279 |         23 |         43 |        345 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\codemirror.js                                                          | JavaScript         |      7,863 |      1,021 |        966 |      9,850 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\keymap\emacs.js                                                        | JavaScript         |        444 |         14 |         88 |        546 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\keymap\sublime.js                                                      | JavaScript         |        658 |          7 |         56 |        721 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\keymap\vim.js                                                          | JavaScript         |      4,834 |        694 |        207 |      5,735 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\apl\apl.js                                                        | JavaScript         |        166 |          2 |          7 |        175 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\asciiarmor\asciiarmor.js                                          | JavaScript         |         68 |          2 |          5 |         75 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\asn.1\asn.1.js                                                    | JavaScript         |        186 |          4 |         15 |        205 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\asterisk\asterisk.js                                              | JavaScript         |        185 |         25 |         11 |        221 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\brainfuck\brainfuck.js                                            | JavaScript         |         67 |         16 |          3 |         86 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\clike\clike.js                                                    | JavaScript         |        711 |        176 |         49 |        936 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\clojure\clojure.js                                                | JavaScript         |        254 |          6 |         33 |        293 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\cmake\cmake.js                                                    | JavaScript         |         80 |         10 |          8 |         98 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\cobol\cobol.js                                                    | JavaScript         |        240 |         10 |          6 |        256 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\coffeescript\coffeescript.js                                      | JavaScript         |        291 |         25 |         44 |        360 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\commonlisp\commonlisp.js                                          | JavaScript         |        109 |          2 |         15 |        126 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\crystal\crystal.js                                                | JavaScript         |        347 |         20 |         67 |        434 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\css\css.js                                                        | JavaScript         |        800 |          8 |         59 |        867 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\cypher\cypher.js                                                  | JavaScript         |        140 |          4 |          8 |        152 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\d\d.js                                                            | JavaScript         |        202 |          3 |         19 |        224 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\dart\dart.js                                                      | JavaScript         |        142 |          8 |         17 |        167 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\diff\diff.js                                                      | JavaScript         |         35 |          2 |         11 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\django\django.js                                                  | JavaScript         |        266 |         45 |         46 |        357 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\dockerfile\dockerfile.js                                          | JavaScript         |        193 |         10 |          9 |        212 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\dtd\dtd.js                                                        | JavaScript         |        116 |          9 |         18 |        143 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\dylan\dylan.js                                                    | JavaScript         |        276 |         44 |         33 |        353 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\ebnf\ebnf.js                                                      | JavaScript         |        156 |         25 |         15 |        196 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\ecl\ecl.js                                                        | JavaScript         |        184 |          3 |         20 |        207 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\eiffel\eiffel.js                                                  | JavaScript         |        105 |         52 |          4 |        161 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\elm\elm.js                                                        | JavaScript         |        215 |          2 |         27 |        244 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\erlang\erlang.js                                                  | JavaScript         |        471 |         63 |         86 |        620 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\factor\factor.js                                                  | JavaScript         |         58 |         23 |          5 |         86 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\fcl\fcl.js                                                        | JavaScript         |        143 |          3 |         28 |        174 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\forth\forth.js                                                    | JavaScript         |        155 |         12 |         14 |        181 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\fortran\fortran.js                                                | JavaScript         |        171 |          3 |         15 |        189 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\gas\gas.js                                                        | JavaScript         |        296 |         17 |         41 |        354 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\gfm\gfm.js                                                        | JavaScript         |        107 |         15 |          8 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\gherkin\gherkin.js                                                | JavaScript         |        124 |         30 |         25 |        179 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\go\go.js                                                          | JavaScript         |        166 |          3 |         19 |        188 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\groovy\groovy.js                                                  | JavaScript         |        212 |          5 |         17 |        234 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\haml\haml.js                                                      | JavaScript         |        133 |         13 |         16 |        162 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\handlebars\handlebars.js                                          | JavaScript         |         52 |          8 |         11 |         71 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\haskell-literate\haskell-literate.js                              | JavaScript         |         37 |          2 |          5 |         44 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\haskell\haskell.js                                                | JavaScript         |        231 |          3 |         35 |        269 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\haxe\haxe.js                                                      | JavaScript         |        450 |         13 |         53 |        516 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\htmlembedded\htmlembedded.js                                      | JavaScript         |         32 |          2 |          4 |         38 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\htmlmixed\htmlmixed.js                                            | JavaScript         |        134 |          2 |         18 |        154 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\http\http.js                                                      | JavaScript         |         96 |          2 |         16 |        114 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\idl\idl.js                                                        | JavaScript         |        266 |          8 |         17 |        291 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\javascript\javascript.js                                          | JavaScript         |        893 |         22 |         46 |        961 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\jinja2\jinja2.js                                                  | JavaScript         |        129 |          8 |         10 |        147 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\jsx\jsx.js                                                        | JavaScript         |         65 |         73 |         11 |        149 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\julia\julia.js                                                    | JavaScript         |        313 |         20 |         58 |        391 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\livescript\livescript.js                                          | JavaScript         |        268 |          6 |          7 |        281 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\lua\lua.js                                                        | JavaScript         |        129 |          6 |         26 |        161 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\markdown\markdown.js                                              | JavaScript         |        730 |         46 |        111 |        887 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\mathematica\mathematica.js                                        | JavaScript         |        118 |         30 |         29 |        177 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\mbox\mbox.js                                                      | JavaScript         |        102 |         11 |         17 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\meta.js                                                           | JavaScript         |        212 |          3 |          7 |        222 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\mirc\mirc.js                                                      | JavaScript         |        186 |          3 |          5 |        194 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\mllike\mllike.js                                                  | JavaScript         |        326 |          9 |         25 |        360 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\modelica\modelica.js                                              | JavaScript         |        190 |         14 |         42 |        246 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\mscgen\mscgen.js                                                  | JavaScript         |        143 |         13 |         20 |        176 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\mumps\mumps.js                                                    | JavaScript         |        102 |         21 |         26 |        149 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\nginx\nginx.js                                                    | JavaScript         |        150 |          3 |         26 |        179 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\nsis\nsis.js                                                      | JavaScript         |         51 |         23 |         22 |         96 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\ntriples\ntriples.js                                              | JavaScript         |        139 |         39 |         18 |        196 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\octave\octave.js                                                  | JavaScript         |        104 |          9 |         27 |        140 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\oz\oz.js                                                          | JavaScript         |        191 |         19 |         43 |        253 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\pascal\pascal.js                                                  | JavaScript         |        120 |          3 |         14 |        137 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\pegjs\pegjs.js                                                    | JavaScript         |         92 |         16 |          7 |        115 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\perl\perl.js                                                      | JavaScript         |        799 |         22 |         16 |        837 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\php\php.js                                                        | JavaScript         |        209 |          9 |         17 |        235 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\pig\pig.js                                                        | JavaScript         |        136 |         24 |         19 |        179 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\powershell\powershell.js                                          | JavaScript         |        343 |          9 |         47 |        399 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\properties\properties.js                                          | JavaScript         |         62 |          3 |         14 |         79 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\protobuf\protobuf.js                                              | JavaScript         |         51 |          8 |         14 |         73 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\pug\pug.js                                                        | JavaScript         |        507 |         20 |         65 |        592 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\puppet\puppet.js                                                  | JavaScript         |        155 |         55 |         11 |        221 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\python\python.js                                                  | JavaScript         |        322 |         26 |         55 |        403 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\q\q.js                                                            | JavaScript         |        133 |          3 |          4 |        140 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\r\r.js                                                            | JavaScript         |        170 |          4 |         17 |        191 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\rpm\rpm.js                                                        | JavaScript         |         86 |          6 |         18 |        110 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\rst\rst.js                                                        | JavaScript         |        457 |         26 |         75 |        558 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\ruby\ruby.js                                                      | JavaScript         |        118 |        176 |         10 |        304 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\rust\rust.js                                                      | JavaScript         |         60 |          7 |          6 |         73 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\sas\sas.js                                                        | JavaScript         |        221 |         52 |         31 |        304 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\sass\sass.js                                                      | JavaScript         |        119 |        314 |         27 |        460 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\scheme\scheme.js                                                  | JavaScript         |        230 |         21 |         34 |        285 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\shell\shell.js                                                    | JavaScript         |        147 |          4 |         18 |        169 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\sieve\sieve.js                                                    | JavaScript         |        144 |         10 |         40 |        194 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\slim\slim.js                                                      | JavaScript         |        527 |         10 |         39 |        576 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\smalltalk\smalltalk.js                                            | JavaScript         |        128 |          2 |         39 |        169 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\smarty\smarty.js                                                  | JavaScript         |        200 |          7 |         19 |        226 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\solr\solr.js                                                      | JavaScript         |         86 |          2 |         17 |        105 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\soy\soy.js                                                        | JavaScript         |        545 |         71 |         50 |        666 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\codemirror\mode\sparql\sparql.js                                                  | JavaScript         |        171 |          2 |         18 |        191 |
